Date,Rocket,Target Orbit,Payload,Launch Site,NOTAM 1,NOTAM 2,NOTAM 3,NOTAM 4,NOTAM 5
12/05/2020,CZ-3B/E,SSO,Gaofen-14,XSLC,,"23.77835, 100.410275","12.89465, 96.754475",,
12/09/2020,CZ-11,LEO,GECAM-01 & 02,XSLC,,"27.408425, 105.7444",,,
12/27/2020,CZ-4C,SSO,Yaogan-33(R),JSLC,,,"17.187825, 93.18415",,
01/19/2021,CZ-3B/E,GTO,Tiantong-1 03,XSLC,,"27.185375, 107.880525","25.83325, 114.023525",,
01/28/2021,CZ-4C,SSO,Yaogan-31 02,JSLC,,"36.0041, 104.3197",,,
02/04/2021,CZ-3B/E,GTO,TJSW-6,XSLC,,"27.185375, 107.880525","25.83325, 114.023525",,
02/23/2021,CZ-4C,SSO,Yaogan-31 03,JSLC,,"36.0041, 104.3197",,,
03/12/2021,CZ-4C,SSO,Yaogan-31 04,JSLC,,"36.0041, 104.3197",,,
03/30/2021,CZ-4C,SSO,Gaofen-12 02,JSLC,,"35.315, 98.274125",,,
04/08/2021,CZ-4B,SSO,Shiyan-6 03,TSLC,,"33.230575, 109.30995",,,
04/26/2021,CZ-6,SSO,Qilu-1&4,TSLC,,"31.29936, 109.55084",,,
04/30/2021,CZ-4C,SSO,Yaogan-34 01,JSLC,,"36.047, 104.270275",,,
05/06/2021,CZ-2C,LEO,Yaogan-30 08,XSLC,,"26.466375, 107.026475",,,
05/19/2021,CZ-4B,SSO,Haiyang-2D,JSLC,,"36.21465, 104.3481",,,
06/02/2021,CZ-3B/E,GTO,Fengyun-4B,XSLC,"28.15, 102.02","27.185375, 107.8806","25.8333, 114.023575","35.1031, 122.4103",
06/10/2021,CZ-2D,SSO,Beijing-3,TSLC,"33.16805, 109.485325","30.494775, 108.84825",,,
06/16/2021,CZ-2F,LEO,Shenzhou-13,JSLC,,"39.338183, 107.55465","38.67542857, 109.2324",,
06/18/2021,CZ-2C,LEO,Yaogan-30 09,XSLC,"28.15, 102.02","26.46645, 107.02655",,,
07/02/2021,CZ-2D,SSO,Jilin-1 KF-01B & KF-03D,TSLC,,"33.21045, 110.35505","29.9461, 109.844425",,
07/04/2021,CZ-4C,SSO,Fengyun-3E,JSLC,,"35.276675, 98.1632","16.803225, 92.492775",,
07/06/2021,CZ-3C/E,GTO,Tianlian-1 05,XSLC,"28.15, 102.02","27.1803, 107.895875","25.8333, 114.023575",,
07/18/2021,CZ-2C,LEO,Yaogan-30 10,XSLC,"28.15, 102.02","26.46645, 107.02655",,,
07/29/2021,CZ-2D,SSO,Tianhui-1 04,JSLC,,"35.25615, 98.6213","33.3056, 98.2491",,
08/03/2021,Hyperbola-1,SSO,(?),JSLC,,,"0.85972, 91.21422",,
